2023-11-22 09:57:16.719 [main] INFO  page.RegisterPage - Please fill out this field. message is displayed as expected
2023-11-22 09:57:21.135 [main] INFO  page.RegisterPage - Please fill out this field. message is displayed as expected
2023-11-22 09:57:25.504 [main] INFO  page.RegisterPage - Please fill out this field. message is displayed as expected
2023-11-22 09:57:30.183 [main] INFO  page.RegisterPage - password_mismatch:The two password fields didn’t match. message is displayed as expected
2023-11-22 09:57:34.720 [main] INFO  page.RegisterPage - password_mismatch:The two password fields didn’t match. message is displayed as expected
2023-11-22 09:57:39.198 [main] INFO  page.RegisterPage - password_mismatch:The two password fields didn’t match. message is displayed as expected
2023-11-22 09:57:43.710 [main] INFO  page.RegisterPage - password_mismatch:The two password fields didn’t match. message is displayed as expected
2023-11-22 10:16:23.366 [main] INFO  page.RegisterPage - Please fill out this field. message is displayed as expected
2023-11-22 10:16:27.796 [main] INFO  page.RegisterPage - Please fill out this field. message is displayed as expected
2023-11-22 10:16:32.213 [main] INFO  page.RegisterPage - Please fill out this field. message is displayed as expected
2023-11-22 10:16:36.658 [main] INFO  page.RegisterPage - password_mismatch:The two password fields didn’t match. message is displayed as expected
2023-11-22 10:16:41.184 [main] INFO  page.RegisterPage - password_mismatch:The two password fields didn’t match. message is displayed as expected
2023-11-22 10:16:45.817 [main] INFO  page.RegisterPage - password_mismatch:The two password fields didn’t match. message is displayed as expected
2023-11-22 10:16:50.336 [main] INFO  page.RegisterPage - password_mismatch:The two password fields didn’t match. message is displayed as expected
2023-11-22 10:16:54.960 [main] ERROR page.RegisterPage - Home page is not displayed successfully with message password_mismatch:The two password fields didn’t match.
2023-11-22 10:18:19.673 [main] INFO  page.RegisterPage - Please fill out this field. message is displayed as expected
2023-11-22 10:18:24.154 [main] INFO  page.RegisterPage - Please fill out this field. message is displayed as expected
2023-11-22 10:18:28.743 [main] INFO  page.RegisterPage - Please fill out this field. message is displayed as expected
2023-11-22 10:18:33.867 [main] INFO  page.RegisterPage - password_mismatch:The two password fields didn’t match. message is displayed as expected
2023-11-22 10:18:38.832 [main] INFO  page.RegisterPage - password_mismatch:The two password fields didn’t match. message is displayed as expected
2023-11-22 10:18:43.336 [main] INFO  page.RegisterPage - password_mismatch:The two password fields didn’t match. message is displayed as expected
2023-11-22 10:18:48.021 [main] INFO  page.RegisterPage - password_mismatch:The two password fields didn’t match. message is displayed as expected
2023-11-22 10:18:52.915 [main] INFO  page.RegisterPage - Home page is displayed successfully with message New Account Created. You are logged in as NumNi@gmail.com
